------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111100\PC_SE_01111110X\mza.json ----------------------------
------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111300\PC_SE_011111300\mza.json ----------------------------
ERROR | ROW: 0 | GEOMETRY: Polygon | CVEGEO: 0300100012224020
ERROR - ROW: 357 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400004
ERROR - ROW: 368 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398006
ERROR - ROW: 388 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400800
ERROR - ROW: 410 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400004
ERROR - ROW: 422 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A012
ERROR - ROW: 434 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453003
ERROR - ROW: 435 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A001
ERROR - ROW: 445 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400010
ERROR - ROW: 454 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398009
ERROR - ROW: 467 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398007
ERROR - ROW: 470 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398001
ERROR - ROW: 473 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398007
ERROR - ROW: 474 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398800
ERROR - ROW: 491 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453004
ERROR - ROW: 509 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453011
ERROR - ROW: 524 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A015
ERROR - ROW: 527 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A002
ERROR - ROW: 531 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453001
ERROR - ROW: 534 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398008
ERROR - ROW: 539 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400001
ERROR - ROW: 542 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398001
ERROR - ROW: 562 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398010
ERROR - ROW: 567 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A010
ERROR - ROW: 573 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400008
